#RA DEC Morph 
0.656670 16.652220 S 
0.692920 18.885830 S 
0.737080 4.208890 S 
0.790420 21.959720 S 
0.796670 15.965000 PEC 
0.811670 16.145560 S 
0.835420 8.618610 S 
0.839580 22.102500 S 
0.835000 29.797220 S 
0.871670 27.351390 LENT 
0.896250 23.200280 S 
0.936250 4.298060 S 
0.953750 7.478610 S 
0.930000 15.218050 DWARF 
0.995830 20.751940 S 
1.037080 7.378890 S 
1.020830 10.294170 LENT 
1.054170 10.790280 S 
1.061250 22.587780 S 
1.104580 6.177780 S 
1.102080 31.471940 S 
1.121250 5.845560 S 
1.136250 33.559170 S 
1.217500 17.192220 IRR 
1.275830 6.920000 S 
1.288330 6.259440 DWARF 
1.307500 6.771940 S 
1.362500 5.176390 S 
1.365420 5.222220 LENT 
1.451670 27.448890 S 
1.483330 22.491950 S 
1.526670 13.124720 S 
1.510000 14.417220 IRR 
1.579580 19.734720 IRR 
1.589580 17.430000 S 
1.660000 17.284440 IRR 
1.657500 8.367500 S 
1.667080 26.153890 S 
1.667920 5.113330 S 
1.706250 8.628060 S 
1.709580 19.321390 S 
1.756670 14.106110 S 
1.816250 27.707780 S 
1.820000 8.301670 LENT 
1.821250 27.677780 S 
1.831250 32.608890 S 
1.961670 35.965840 IRR 
2.006670 33.070280 E 
2.028330 9.717500 S 
2.061250 7.780000 S 
2.045420 27.527500 S 
2.186250 4.612500 S 
2.192920 15.816390 IRR 
2.205420 24.540000 S 
2.198750 33.432500 S 
2.227920 23.817220 PEC 
2.268330 25.618060 S 
2.267920 10.918890 S 
2.450830 27.831950 S 
2.466670 4.674440 LENT 
2.472080 25.923890 S 
2.507080 16.940280 DWARF 
2.513750 28.149720 S 
2.508330 28.210000 S 
2.570000 30.849450 S 
2.608330 25.831950 S 
2.610000 28.987780 S 
2.636250 28.996390 S 
2.649170 28.681670 LENT 
2.670000 32.982500 S 
2.669580 13.709440 DWARF 
2.695830 33.352500 S 
2.737500 25.560000 S 
2.754580 30.051940 S 
2.809580 28.906390 LENT 
2.843330 6.389170 S 
2.908750 27.947780 S 
2.937920 28.498890 S 
3.005420 26.393050 S 
3.037080 12.045560 S 
3.065420 22.321110 S 
3.078750 31.060830 S 
3.159580 5.505000 S 
3.226670 33.360830 S 
3.262920 14.409440 IRR 
3.323330 17.029170 IRR 
3.362500 17.486390 S 
3.485420 26.967500 S 
3.461670 35.993330 S 
3.483330 3.713610 S 
3.503330 12.963890 S 
3.553750 7.410830 IRR 
3.667500 18.581950 S 
3.813750 5.887500 S 
3.964170 16.089450 S 
3.989580 14.076110 S 
4.118750 29.923610 S 
4.171670 2.461110 DWARF 
4.184170 7.076390 S 
4.200830 12.350000 DWARF  
4.224170 27.847780 S 
4.316670 17.522500 S 
4.265420 34.499440 S 
4.291670 6.718890 DWARF 
4.330000 6.722220 S 
4.349170 18.083890 S 
4.424170 24.667500 S 
4.399170 30.204720 S 
4.439580 11.450280 S 
4.544170 18.292220 S 
4.577500 19.392780 S 
4.602080 17.834170 S 
4.593750 30.079440 S 
4.752500 23.476110 S 
4.784580 15.749440 S 
4.750830 19.397780 S 
4.862080 13.160830 DWARF 
4.952920 23.772220 S 
4.947080 9.166670 S 
4.998750 20.004720 S 
4.989580 15.091940 S 
5.021250 10.879170 DWARF 
5.114170 0.833060 E 
5.083750 7.700000 S  
5.202500 20.031110 S 
5.231250 21.865830 S 
5.215830 12.855830 IRR  
5.243330 17.687780 DWARF 
5.249580 7.621670 S 
